Year,Country/area,Sector,Technology,Sub Technology,Number of Patents
2000,Algeria,Building,Enabling Technologies,Smart Grids,1
2000,Algeria,Power,Enabling Technologies,Thermal energy storage,1
2000,Algeria,Power,Enabling Technologies,Hydrogen (storage and distribution and applications),1
2000,Algeria,Power,Hydropower,Hydropower,1
2000,Algeria,Transport,Enabling Technologies,Energy Efficiency,1
2000,Argentina,Building,Enabling Technologies,Smart Grids,1
2000,Argentina,Building,Solar Energy,PV,1
2000,Argentina,Building,Solar Energy,Solar Thermal,1
2000,Argentina,CCUS,Enabling Technologies,CCUS,12
2000,Argentina,Industry,Enabling Technologies,Cross-cutting,1
2000,Argentina,Industry,Enabling Technologies,Energy Storage - General,1
2000,Argentina,Industry,Enabling Technologies,Hydrogen (storage and distribution and applications),1
2000,Argentina,Power,Bioenergy,Biofuels,7
2000,Argentina,Power,Bioenergy,Fuel from waste,3
2000,Argentina,Power,Enabling Technologies,Batteries,18
2000,Argentina,Power,Enabling Technologies,Fuel Cells,6
2000,Argentina,Power,Enabling Technologies,Hydrogen (storage and distribution and applications),3
2000,Argentina,Power,Enabling Technologies,Green hydrogen (water eloctrolysis),1
2000,Argentina,Power,Hydropower,Hydropower,4
2000,Argentina,Power,Ocean Energy,Ocean Energy,1
2000,Argentina,Power,Solar Energy,PV,2
2000,Argentina,Power,Solar Energy,PV - Thermal Hybrid,1
2000,Argentina,Power,Solar Energy,Solar Thermal,4
2000,Argentina,Power,Wind Energy,Wind Energy,14
2000,Argentina,Transport,Bioenergy,Biofuels,6
2000,Argentina,Transport,Enabling Technologies,Electromobility - Charging Stations,1
2000,Argentina,Transport,Enabling Technologies,Electromobility - Energy Storage,1
2000,Argentina,Transport,Enabling Technologies,Energy Efficiency,3
2000,Argentina,Waste,Solar Energy,PV - Thermal Hybrid,2
2000,Australia,Building,Enabling Technologies,Energy Efficiency,40
2000,Australia,Building,Enabling Technologies,Fuel Cells,7
2000,Australia,Building,Enabling Technologies,Smart Grids,48
2000,Australia,Building,Hydropower,Hydropower,1
2000,Australia,Building,Solar Energy,PV,13
2000,Australia,Building,Solar Energy,PV - Thermal Hybrid,6
2000,Australia,Building,Solar Energy,Solar Thermal,24
2000,Australia,Building,Wind Energy,Wind Energy,11
2000,Australia,CCUS,Enabling Technologies,CCUS,46
2000,Australia,Industry,Bioenergy,Fuel from waste,4
2000,Australia,Industry,Enabling Technologies,CCUS,4
2000,Australia,Industry,Enabling Technologies,Cross-cutting,4
2000,Australia,Industry,Enabling Technologies,Energy Efficiency,15
2000,Australia,Industry,Enabling Technologies,Energy Storage - General,3
2000,Australia,Industry,Enabling Technologies,Hydrogen (storage and distribution and applications),32
2000,Australia,Power,Bioenergy,Biofuels,65
2000,Australia,Power,Bioenergy,Fuel from waste,42
2000,Australia,Power,Enabling Technologies,Batteries,324
2000,Australia,Power,Enabling Technologies,Energy Storage - General,8
2000,Australia,Power,Enabling Technologies,Fuel Cells,269
2000,Australia,Power,Enabling Technologies,Others,1
2000,Australia,Power,Enabling Technologies,Thermal energy storage,26
2000,Australia,Power,Enabling Technologies,"Ultracapacitors, supercapacitors, double-layer capacitors",27
2000,Australia,Power,Enabling Technologies,Hydrogen (storage and distribution and applications),35
2000,Australia,Power,Enabling Technologies,Green hydrogen (water eloctrolysis),33
2000,Australia,Power,Enabling Technologies,"Mechanical energy storage, e.g. flywheels or pressurised fluids",16
2000,Australia,Power,Geothermal Energy,Geothermal Energy,7
2000,Australia,Power,Hydropower,Hydropower,40
2000,Australia,Power,Ocean Energy,Ocean Energy,27
2000,Australia,Power,Solar Energy,PV,130
2000,Australia,Power,Solar Energy,PV - Thermal Hybrid,6
2000,Australia,Power,Solar Energy,Solar Thermal,62
2000,Australia,Power,Wind Energy,Wind Energy,140
2000,Australia,Transport,Bioenergy,Biofuels,28
2000,Australia,Transport,Enabling Technologies,Electromobility - Charging Stations,33
2000,Australia,Transport,Enabling Technologies,Electromobility - Electric Energy Management,27
2000,Australia,Transport,Enabling Technologies,Electromobility - Energy Storage,33
2000,Australia,Transport,Enabling Technologies,Electromobility - Information/Communication Technologies,11
2000,Australia,Transport,Enabling Technologies,Electromobility - Machine related technology ,31
2000,Australia,Transport,Enabling Technologies,Energy Efficiency,47
2000,Australia,Transport,Enabling Technologies,Smart Grids,3
2000,Australia,Transport,Enabling Technologies,Hydrogen (storage and distribution and applications),14
2000,Australia,Waste,Solar Energy,PV - Thermal Hybrid,32
2000,Australia,Waste,Wind Energy,Wind Energy,3
2000,Austria,Building,Enabling Technologies,Energy Efficiency,21
2000,Austria,Building,Enabling Technologies,Fuel Cells,2
2000,Austria,Building,Enabling Technologies,Smart Grids,22
2000,Austria,Building,Hydropower,Hydropower,1
2000,Austria,Building,Solar Energy,PV,9
2000,Austria,Building,Solar Energy,PV - Thermal Hybrid,4
2000,Austria,Building,Solar Energy,Solar Thermal,11
2000,Austria,Building,Wind Energy,Wind Energy,6
2000,Austria,CCUS,Enabling Technologies,CCUS,19
2000,Austria,Industry,Bioenergy,Fuel from waste,1
2000,Austria,Industry,Enabling Technologies,CCUS,3
2000,Austria,Industry,Enabling Technologies,Cross-cutting,2
2000,Austria,Industry,Enabling Technologies,Energy Efficiency,6
2000,Austria,Industry,Enabling Technologies,Hydrogen (storage and distribution and applications),18
2000,Austria,Power,Bioenergy,Biofuels,36
2000,Austria,Power,Bioenergy,Fuel from waste,25
2000,Austria,Power,Enabling Technologies,Batteries,125
2000,Austria,Power,Enabling Technologies,Energy Storage - General,2
2000,Austria,Power,Enabling Technologies,Fuel Cells,109
2000,Austria,Power,Enabling Technologies,Thermal energy storage,13
2000,Austria,Power,Enabling Technologies,"Ultracapacitors, supercapacitors, double-layer capacitors",10
2000,Austria,Power,Enabling Technologies,Hydrogen (storage and distribution and applications),17
2000,Austria,Power,Enabling Technologies,Green hydrogen (water eloctrolysis),11
2000,Austria,Power,Enabling Technologies,"Mechanical energy storage, e.g. flywheels or pressurised fluids",4
2000,Austria,Power,Geothermal Energy,Geothermal Energy,6
2000,Austria,Power,Hydropower,Hydropower,22
2000,Austria,Power,Ocean Energy,Ocean Energy,12
2000,Austria,Power,Solar Energy,PV,61
2000,Austria,Power,Solar Energy,PV - Thermal Hybrid,1
2000,Austria,Power,Solar Energy,Solar Thermal,26
2000,Austria,Power,Wind Energy,Wind Energy,92
2000,Austria,Transport,Bioenergy,Biofuels,19
2000,Austria,Transport,Enabling Technologies,Electromobility - Charging Stations,12
2000,Austria,Transport,Enabling Technologies,Electromobility - Electric Energy Management,19
2000,Austria,Transport,Enabling Technologies,Electromobility - Energy Storage,20
2000,Austria,Transport,Enabling Technologies,Electromobility - Information/Communication Technologies,3
